unobserved_strength,seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
0.0,1256,flat,0,0.0,0.4,True,0.02875656696842881,0.023790707403911794,0.03675289879844972,0.009262315380560897,,0.00882998609411007,,0.0
0.0,1256,flat,1,0.2,0.4,True,0.03046412577686539,0.023786816418211867,0.037832372291653996,0.01592715548293982,,0.01818541659250795,,0.0
0.0,1256,flat,2,0.4,0.4,True,0.06197241316470239,0.026542932999985114,0.07473296167626862,0.024928329474714767,,0.022793403301949417,,0.0
0.0,1256,flat,3,0.6,0.4,False,0.13953819521348565,0.10644116413802243,0.17383475398909415,0.024225844041994106,,0.02259992395850451,,0.0
0.0,1272,flat,0,0.0,0.4,True,0.017109982530637606,0.019349724256321373,0.03000516967567519,0.01004841228631331,,0.011422742539978067,,0.0
0.0,1272,flat,1,0.2,0.4,True,0.017043202174091443,0.016648166214146203,0.023396921790714318,0.02087536756463826,,0.020661151636673383,,0.0
0.0,1272,flat,2,0.4,0.4,True,0.10809273725577132,0.08163109678934873,0.05495271479201704,0.02395015776020316,,0.022219132819985513,,0.0
0.0,1272,flat,3,0.6,0.4,False,0.17609664595801622,0.1514278947005154,0.1447127787917275,0.02350075498790862,,0.022849761938519585,,0.0
0.0,1288,flat,0,0.0,0.4,True,0.030654651045695973,0.02795356960425739,0.015725994601722946,0.011830520537651615,,0.012259609549399593,,0.0
0.0,1288,flat,1,0.2,0.4,True,0.026979841863479233,0.028329323463167626,0.038457153350501046,0.020143177642520604,,0.01897942429135608,,0.0
0.0,1288,flat,2,0.4,0.4,True,0.0819037716962971,0.06795719902892461,0.07738580430957717,0.021792960708455045,,0.022516704839497012,,0.0
0.0,1288,flat,3,0.6,0.4,False,0.10821933191909791,0.12720041092396817,0.14495557550505989,0.026794764939636173,,0.023954560490818975,,0.0
0.0,1304,flat,0,0.0,0.4,True,0.06834094670873282,0.060942536331389484,0.03115429756289964,0.006989608160168916,,0.006048665641959971,,0.0
0.0,1304,flat,1,0.2,0.4,True,0.0330750984890243,0.04263842763294824,0.03298813238677265,0.018749292026825397,,0.01797807011465125,,0.0
0.0,1304,flat,2,0.4,0.4,True,0.08798902873811353,0.08144320666039234,0.08817575284743169,0.024636373376844184,,0.024878649980408916,,0.0
0.0,1304,flat,3,0.6,0.4,False,0.1567909171818095,0.14666220186162374,0.14983629707718757,0.02385928815126647,,0.023111861052260332,,0.0
0.0,1320,flat,0,0.0,0.4,True,0.023041085886684836,0.035067788595989316,0.041041927543782206,0.010866461228685897,,0.0070511956206536445,,0.0
0.0,1320,flat,1,0.2,0.4,True,0.046656888434747676,0.05190642278220621,0.04295863104139395,0.018665116790571958,,0.018143734642955576,,0.0
0.0,1320,flat,2,0.4,0.4,True,0.0866777144353656,0.09515768502238509,0.06534487873852277,0.018001443014160325,,0.020038138508254616,,0.0
0.0,1320,flat,3,0.6,0.4,False,0.15594105009606324,0.10147015454271197,0.133041954840444,0.023228711562325574,,0.023222345128368085,,0.0
0.0,1336,flat,0,0.0,0.4,True,0.022981491063166822,0.032967525624141125,0.04192102932493126,0.012942249416011969,,0.011821042865024823,,0.0
0.0,1336,flat,1,0.2,0.4,True,0.04425968904323676,0.035611909003964076,0.04033203732730938,0.01685443513235536,,0.01682400966851784,,0.0
0.0,1336,flat,2,0.4,0.4,True,0.055444115211727346,0.0358490639828646,0.06480451070744793,0.015464957107112168,,0.014658031190418648,,0.0
0.0,1336,flat,3,0.6,0.4,False,0.12967715555167503,0.1478661874486013,0.16031648216945876,0.02478678254367188,,0.024013143699543413,,0.0
